name;story
Education-0.wav; A teacher give a speech about Quantum Physics with inspiring music.
Education-1.wav; A teacher's speech with chalkboard sounds and hints of golden ratios.
Education-2.wav; A confident lecture on DNA with molecular sound effects and student questions.
Education-3.wav; An excited talk about virtual reality with VR sounds and student reactions.
Education-4.wav; A narration on astronomy with celestial music and cosmic sounds.
Education-5.wav; Storytelling about ancient civilizations with sounds of archaeological sites.
Education-6.wav; A lecture on logic with philosophical tones and moments of silence.
Education-7.wav; Language teaching with multicultural sounds and student pronunciation practice.
Education-8.wav; A marine biologist discusses marine life with underwater sound effects.
Education-9.wav; Music theory introduction with a mix of instrument sounds and teaching voice.
Radio_Play-0.wav; Cafe sounds with coffee brewing, finger touches, and soft whispers.
Radio_Play-1.wav; Coffee cups clinking, a man's travel stories, and a girl's responses.
Radio_Play-2.wav; A café with a woman's laughter and a man's jokes.
Radio_Play-3.wav; Pencil scratching, sipping lattes, and quiet conversations.
Radio_Play-4.wav; Cozy café with background music, giggles, and storytelling.
Radio_Play-5.wav; Guitar strumming, laughter, and singing in a café.
Radio_Play-6.wav; Rain sounds, a girl listening to poetry, and page turning.
Radio_Play-7.wav; Lively debate, pastries, and cappuccino steam in a café.
Radio_Play-8.wav; Rustling of a rose, soft whispers, and café ambiance.
Radio_Play-9.wav; A woman sharing a story, a man's responses, and espresso aroma.
Romantic_Drama-0.wav; Hushed secrets and intense emotions in a love journey.
Romantic_Drama-1.wav; A boy's firm tone and a girl's pleas in an emotional dance.
Romantic_Drama-2.wav; Sunsets, promise exchanges, and a mix of hope and heartache.
Romantic_Drama-3.wav; Gentle caresses and tearful confrontations in a love story.
Romantic_Drama-4.wav; Paris nights, romantic tension, and a woman's past.
Romantic_Drama-5.wav; Quiet moments and societal disapproval in forbidden love.
Romantic_Drama-6.wav; Letters rustling and clock ticking in a slow love dance.
Romantic_Drama-7.wav; Family disputes and secret meetings in lovers' choices.
Romantic_Drama-8.wav; Hospital beeps and caring voices in rekindled love.
Romantic_Drama-9.wav; Old music and flipping photo album pages in a nostalgic love story.
Sci-Fi-0.wav; Alien radio waves disrupting technology with human voices reconnecting.
Sci-Fi-1.wav; Time machine whirring and a historian's frantic efforts to fix his timeline.
Sci-Fi-2.wav; Robot uprising noises turning into human music, leading to AI-human truce.
Sci-Fi-3.wav; Starship engine sounds and sentient whales communicating as Earth evacuates.
Sci-Fi-4.wav; Jane discovering cosmic plants with sounds of interstellar communication.
Sci-Fi-5.wav; Mars colonists finding alien artifacts amid Martian wind sounds.
Sci-Fi-6.wav; Eerie sounds of memory trading and emotional turmoil.
Sci-Fi-7.wav; Space pirate laughter and negotiation sounds over interstellar channels.
Sci-Fi-8.wav; Ambient sounds at a cosmic crossroads with a nomad's interstellar tales.
Sci-Fi-9.wav; Universal translator malfunctions and humans, aliens bonding over music.
Travel_Exploration-0.wav; Footsteps on Italy's cobblestones, espresso aroma, and gladiator stories.
Travel_Exploration-1.wav; Cherry blossom rustle in Japan with samurai legend whispers.
Travel_Exploration-2.wav; Norway's fjord sounds, rugged cliffs, icy waters, and Viking tales.
Travel_Exploration-3.wav; India's clatter of spices, spiritual chants, and Ganges rituals.
Travel_Exploration-4.wav; Kenya's savannah sounds, wildlife roars, and Maasai tales at sunset.
Travel_Exploration-5.wav; Vietnam's Mekong Delta market sounds, water splashes, and dragon legends.
Travel_Exploration-6.wav; Peru's Andes whispers, Inca tales, and wind carrying past stories.
Travel_Exploration-7.wav; Australia's outback with didgeridoo sounds and Dreamtime stories.
Travel_Exploration-8.wav; Iceland's geysers and elfin tale murmurs amid nature's fury.
Travel_Exploration-9.wav; Brazil's Amazon jungle sounds, river murmurs, and ancient tribal secrets.
